Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1155351510055673856,Community efforts for water conservation. #MannKiBaat https://t.co/Yw6G7kkhkB,PMO India,PMOIndia,Sun Jul 28 05:37:20 +0000 2019,1407,333,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155351806534287360,There is greater sensitivity towards conserving water and this is a good sign. #MannKiBaat https://t.co/0OsC78O0gE,PMO India,PMOIndia,Sun Jul 28 05:38:30 +0000 2019,1455,328,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155352301780946944,Talking about young champions whose achievements will make every Indian proud. https://t.co/NgFwOa6zUt,PMO India,PMOIndia,Sun Jul 28 05:40:28 +0000 2019,2056,412,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,0,0
1155352704719261696,The year 2019 has been a good one for Indian space and science. #MannKiBaat https://t.co/ja2YVXc0Jq,PMO India,PMOIndia,Sun Jul 28 05:42:04 +0000 2019,1745,372,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155352916141625349,Every Indian is proud of Chandrayaan-2. #MannKiBaat https://t.co/69wG0j2aUt,PMO India,PMOIndia,Sun Jul 28 05:42:55 +0000 2019,1739,366,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155353061742612480,Indian at heart and Indian in spirit. #MannKiBaat https://t.co/VMjV6pEdLW,PMO India,PMOIndia,Sun Jul 28 05:43:29 +0000 2019,1483,316,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155353239883153408,India salutes the innovative zeal of our scientists. #MannKiBaat https://t.co/057bfb0Oez,PMO India,PMOIndia,Sun Jul 28 05:44:12 +0000 2019,1457,309,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155353418321367043,Here is why Indian scientists are exemplary! #MannKiBaat https://t.co/4UrCzqsTrd,PMO India,PMOIndia,Sun Jul 28 05:44:55 +0000 2019,1478,335,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155353598882041856,Let temporary setbacks not deter your larger mission. #MannKiBaat https://t.co/CrlnahMZNz,PMO India,PMOIndia,Sun Jul 28 05:45:38 +0000 2019,1344,346,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155354229248163843,Inviting students to take part in a unique quiz competition and get an opportunity to visit Sriharikota. #MannKiBaat https://t.co/UNWtfJHaav,PMO India,PMOIndia,Sun Jul 28 05:48:08 +0000 2019,1794,427,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155354906657583105,Saluting the efforts of a unique effort to promote cleanliness and art. #MannKiBaat https://t.co/chmuV4usbN,PMO India,PMOIndia,Sun Jul 28 05:50:49 +0000 2019,1959,438,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155355159238627328,Let us focus on a future of waste to wealth. #MannKiBaat https://t.co/taVsPjMako,PMO India,PMOIndia,Sun Jul 28 05:51:50 +0000 2019,1833,388,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155355855082024960,A comment by Muhammad Aslam on MyGov drew the Prime Minister's attention and he decided to speak about it during #MannKiBaat. https://t.co/4zILxZDAl1,PMO India,PMOIndia,Sun Jul 28 05:54:35 +0000 2019,2901,518,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155356109722406912,A noteworthy effort in Jammu and Kashmir. #MannKiBaat https://t.co/iBmt2coDEA,PMO India,PMOIndia,Sun Jul 28 05:55:36 +0000 2019,1253,301,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155356441592487936,A festival of development in Jammu and Kashmir. #MannKiBaat https://t.co/FdPoN50RsH,PMO India,PMOIndia,Sun Jul 28 05:56:55 +0000 2019,1412,295,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155356612065841152,Taking development to every corner of Jammu and Kashmir. #MannKiBaat https://t.co/g99sqk14z9,PMO India,PMOIndia,Sun Jul 28 05:57:36 +0000 2019,1498,326,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155357158965301251,People of Jammu and Kashmir want development and good governance. #MannKiBaat https://t.co/J43g2j7YQY,PMO India,PMOIndia,Sun Jul 28 05:59:46 +0000 2019,3860,658,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155357935909761026,"PM @narendramodi talks about the monsoons.

Assures support to those suffering due to floods.

Also highlights record participation in the Amarnath Yatra, visits to Kedarnath and praises local citizens for their hospitality. #MannKiBaat https://t.co/DhulduPcx6",PMO India,PMOIndia,Sun Jul 28 06:02:52 +0000 2019,2774,617,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,1
1155358102524325889,Monsoons bring hope and freshness. #MannKiBaat https://t.co/YN0DvEbOKQ,PMO India,PMOIndia,Sun Jul 28 06:03:31 +0000 2019,3411,578,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155444855272824832,"Anguished by the demise of Dr. Donkupar Roy, Speaker of the Meghalaya Assembly and former CM of the state. Passionate about Meghalaya’s progress, he served the state with great diligence and helped transform many lives. Condolences to his family and supporters: PM @narendramodi",PMO India,PMOIndia,Sun Jul 28 11:48:15 +0000 2019,4424,610,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,1
1155694588880809984,Releasing the results of All India Tiger Estimation. #InternationalTigerDay https://t.co/b73ADzson4,PMO India,PMOIndia,Mon Jul 29 04:20:36 +0000 2019,0,4310,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,0
1155694808519680000,"The results of the just declared tiger census would make every Indian, every nature lover happy.
 
Nine long years ago, it was decided in St. Petersburg that the target of doubling the tiger population would be 2022. We in India completed this target four years early: PM",PMO India,PMOIndia,Mon Jul 29 04:21:28 +0000 2019,5763,1020,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1155694962064801792,"The speed and dedication with which various stakeholders worked to achieve this is remarkable.
 
This is one of the finest example of संकल्प से सिद्धि।
 
Once the people of India decide to do something, there is no force that can prevent them for getting the desired results: PM",PMO India,PMOIndia,Mon Jul 29 04:22:05 +0000 2019,7018,1130,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1155695870228103168,"I feel it is possible to strike a healthy balance between - development and environment.
 
In our policies, in our economics, we have to change the conversation about conservation: PM",PMO India,PMOIndia,Mon Jul 29 04:25:41 +0000 2019,9366,1043,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,0
1155696197526380544,"India will build more homes for our citizens and that the same time create quality habitats for animals.
 
India will have a vibrant marine economy and a healthier marine ecology.
 
This balance is what will contribute to a strong and inclusive India: PM",PMO India,PMOIndia,Mon Jul 29 04:26:59 +0000 2019,2095,393,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,0
1155701622393188352,"I am confident that:
 
India will prosper both economically and environmentally.
 
India will build more roads and India will have cleaner rivers.
 
India will have better train connectivity and also greater tree coverage: PM",PMO India,PMOIndia,Mon Jul 29 04:48:33 +0000 2019,7611,853,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,0
1156078095075381248,"Tiger count in India at 2,967; PM ⁦@narendramodi⁩ lauds conservation efforts. 
https://t.co/N9GCqheBKG

via NaMo App https://t.co/l5NUi540uC",PMO India,PMOIndia,Tue Jul 30 05:44:31 +0000 2019,6691,842,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,1,0,1
1156205895124209664,"An archaic and medieval practice has finally been confined to the dustbin of history! 

Parliament abolishes Triple Talaq and corrects a historical wrong done to Muslim women. This is a victory of gender justice and will further equality in society. 

India rejoices today!",PMO India,PMOIndia,Tue Jul 30 14:12:21 +0000 2019,0,16769,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
1156205907606429701,"I thank all parties and MPs who have supported the passage of The Muslim Women (Protection of Rights on Marriage) Bill, 2019 in both Houses of Parliament. They have risen to the occasion and this step of theirs will forever be remembered in India’s history.",PMO India,PMOIndia,Tue Jul 30 14:12:24 +0000 2019,0,6619,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
1156205917907619841,"This is an occasion to salute the remarkable courage of those Muslim women who have suffered great wrongs just due to the practice of Triple Talaq.

The abolition of Triple Talaq will contribute to women empowerment and give women the dignity they deserve in our society.",PMO India,PMOIndia,Tue Jul 30 14:12:26 +0000 2019,0,7742,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,0
1156859277912375298,"Lok Sabha MP from Srinagar and former CM of Jammu and Kashmir, Dr. Farooq Abdullah as well as former Chief Minister of J&amp;K, Shri @OmarAbdullah called on PM @narendramodi. https://t.co/EPack2f4Gd",PMO India,PMOIndia,Thu Aug 01 09:28:39 +0000 2019,17498,1706,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,0,2
1156973271872491520,"Telephone Conversation between Prime Minister ⁦@narendramodi⁩ and the President of Ukraine. 
https://t.co/8Kra9Gk8wt

via NaMo App https://t.co/m7SyBOuAJ9",PMO India,PMOIndia,Thu Aug 01 17:01:38 +0000 2019,4300,569,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,1,0,1
1157273116856340480,"Shri Phagu Chauhan, the Governor of Bihar called on PM @narendramodi. https://t.co/asWZMPbygn",PMO India,PMOIndia,Fri Aug 02 12:53:06 +0000 2019,15098,1188,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,0,1
1158714095178174465,"The Chief Minister of Karnataka, @BSYBJP Ji called on PM @narendramodi.

Union Ministers and leaders from Karnataka also met the Prime Minister with CM Yediyurappa. https://t.co/POhQscTcIW",PMO India,PMOIndia,Tue Aug 06 12:19:02 +0000 2019,11449,1098,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,0,2
1158714282722226176,Andhra Pradesh CM @ysjagan Ji met PM @narendramodi earlier today. https://t.co/wveSk1lEB9,PMO India,PMOIndia,Tue Aug 06 12:19:47 +0000 2019,28173,2217,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,0,2
